Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Jordan Mason,SFO,RB,23,3,0,0,0,0,0,0,1,7,7.00,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0.7,0.7,0,91,0
Cole Beasley,TAM,WR,33,1,0,0,0,0,0,0,0,0,0,0,4,3,12,4.00,0,0,0,0,0,0,1,4.2,4.2,2.7,0,143,0
Kyle Rudolph,TAM,TE,33,1,0,0,0,0,0,0,0,0,0,0,1,1,12,12.00,0,0,0,0,0,0,1,2.2,2.2,1.7,0,71,0
Jonathan Williams,WAS,RB,28,3,0,0,0,0,0,0,1,6,6.00,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.6,0.6,0,92,0
Bryan Edwards,ATL,WR,24,2,1,0,0,0,0,0,0,0,0,0,3,1,2,2.00,0,0,0,0,0,0,0,1.2,1.2,0.7,0,151,0
Feleipe Franks,ATL,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
Caleb Huntley,ATL,RB,24,1,0,0,0,0,0,0,1,3,3.00,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,96,0
Damien Williams,ATL,RB,30,1,1,0,0,0,0,0,2,2,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,97,0
Taiwan Jones,BUF,0,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0
Case Keenum,BUF,QB,34,1,0,0,2,0,0,0,3,2,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,37,0
Tommy Sweeney,BUF,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0
Rashard Higgins,CAR,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0
Terrace Marshall Jr.,CAR,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0
Andre Roberts,CAR,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0
Khari Blasingame,CHI,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0
Ihmir Smith-Marsette,CHI,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0
Trevon Wesco,CHI,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0
Devin Asiasi,CIN,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0
Chris Evans,CIN,RB,25,3,0,0,0,0,0,0,0,0,0,0,1,1,4,4.00,0,0,0,0,0,0,0,1.4,1.4,0.9,0,94,0
Clark Harris,CIN,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0
Stanley Morgan Jr.,CIN,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0
Drew Sample,CIN,TE,26,2,2,0,0,0,0,0,0,0,0,0,2,2,-2,-1.00,0,0,0,0,0,0,0,1.8,1.8,0.8,0,104,0
Trent Taylor,CIN,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0
Demetric Felton,CLE,RB,24,2,0,0,0,0,0,0,1,-4,-4.00,0,2,1,3,3.00,0,1,0,0,0,0,0,0.9,0.9,0.4,0,120,0
Jesse James,CLE,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0
D'Ernest Johnson,CLE,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0
Chester Rogers,CLE,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0
Keke Coutee,IND,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,159,0
Nick Foles,IND,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
Deon Jackson,IND,RB,23,3,0,0,0,0,0,0,2,-3,-1.50,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,-0.3,-0.3,0,121,0
Stephen Anderson,ARI,TE,29,3,0,0,0,0,0,0,0,0,0,0,1,1,2,2.00,0,0,0,0,0,0,0,1.2,1.2,0.7,0,83,0
Jonathan Ward,ARI,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0
Maxx Williams,ARI,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0
Rico Dowdle,DAL,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0
KaVontae Turpin,DAL,WR,26,2,0,0,0,0,0,0,1,3,3.00,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,150,0
Mike Boone,DEN,RB,27,3,0,0,0,0,0,0,0,0,0,0,2,1,2,2.00,0,0,0,0,0,0,0,1.2,1.2,0.7,0,98,0
KJ Hamler,DEN,0,23,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0
Eric Tomlinson,DEN,0,30,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0
Quintez Cephus,DET,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0
Justin Jackson,DET,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0
Kalif Raymond,DET,WR,28,3,0,0,0,0,0,0,0,0,0,0,3,1,4,4.00,0,0,0,0,0,0,0,1.4,1.4,0.9,0,149,0
Marcedes Lewis,GNB,0,38,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
Amari Rodgers,GNB,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,162,0
Chris Conley,HOU,0,30,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0
Dare Ogunbowale,HOU,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0
